"name", "shares", "value_of_shares_in_thousands_usd", "date_recorded"
"Prospera Financial Services Inc", 40312, 1335, "12/31/2016"
"Chatham Capital Group Inc.", 41048, 1333, "12/31/2016"
"Cobblestone Capital Advisors LLC NY", 40872, 1328, "12/31/2016"
"Athena Global Investors LLC", 40641, 1320, "12/31/2016"
"INR Advisory Services LLC", 40341, 1310, "12/31/2016"
"Cadinha & Co. LLC", 40278, 1308, "12/31/2016"
"First Financial Corp IN", 40144, 1304, "12/31/2016"
"United Fire Group Inc.", 40000, 1299, "12/31/2016"
"Intellectus Partners LLC", 39915, 1296, "12/31/2016"
"R&F Capital Advisors LP", 39710, 1290, "12/31/2016"
"P.R. Herzig & Co. Inc.", 39700, 1289, "12/31/2016"
"Asset Management Group Inc.", 39632, 1287, "12/31/2016"
"Bourne Lent Asset Management Inc.", 39505, 1283, "12/31/2016"
"Newman Dignan & Sheerar Inc.", 39408, 1280, "12/31/2016"
"RKL Wealth Management LLC", 39355, 1278, "12/31/2016"
"Hamel Associates Inc.", 39320, 1277, "12/31/2016"
"Amica Retiree Medical Trust", 39242, 1275, "12/31/2016"
"Macnealy Hoover Investment Management Inc.", 39201, 1274, "12/31/2016"
"Trustco Bank Corp N Y", 39155, 1272, "12/31/2016"
"North American Management Corp", 39151, 1272, "12/31/2016"
"Fic Capital Inc.", 39160, 1272, "12/31/2016"
"Plante Moran Financial Advisors LLC", 38983, 1266, "12/31/2016"
"Intersect Capital LLC", 38933, 1265, "12/31/2016"
"Premier Asset Managment LLC", 38496, 1250, "12/31/2016"
"Aspiriant LLC", 38316, 1245, "12/31/2016"
"First Interstate Bank", 38154, 1239, "12/31/2016"
"HAP Trading LLC", , 1237, "12/31/2016"
"Renaissance Investment Group LLC", 37825, 1229, "12/31/2016"
"Lakeview Capital Partners LLC", 37737, 1226, "12/31/2016"
"Southeast Asset Advisors Inc.", 37729, 1225, "12/31/2016"
"Berson & Corrado Investment Advisors LLC", 37707, 1225, "12/31/2016"
"AE Wealth Management LLC", 37494, 1218, "12/31/2016"
"Capital Investment Advisory Services LLC", 37371, 1214, "12/31/2016"
"Dubuque Bank & Trust Co.", 37237, 1209, "12/31/2016"
"Balasa Dinverno & Foltz LLC", 37180, 1208, "12/31/2016"
"Tarbox Group Inc.", 37187, 1208, "12/31/2016"
"Monetary Management Group Inc.", 37145, 1206, "12/31/2016"
"Pinnacle Wealth Management Advisory Group LLC", 37080, 1204, "12/31/2016"
"Cutler Capital Management LLC", 37000, 1201, "12/31/2016"
"Shoker Investment Counsel Inc.", 36994, 1201, "12/31/2016"
"Saybrook Capital NC", 36809, 1196, "12/31/2016"
"Ballentine Partners LLC", 36949, 1192, "12/31/2016"
"Lingohr & Partner Asset Management GmbH", 36700, 1192, "12/31/2016"
"Valley National Advisers Inc.", 36543, 1187, "12/31/2016"
"Enterprise Financial Services Corp", 36560, 1187, "12/31/2016"
"Parkside Financial Bank & Trust", 36458, 1185, "12/31/2016"
"Yorktown Management & Research Co Inc", 36400, 1182, "12/31/2016"
"Jacobi Capital Management LLC", 35999, 1182, "12/31/2016"
"Baker Ellis Asset Management LLC", 36325, 1180, "12/31/2016"
"Evergreen Capital Management LLC", 36273, 1178, "12/31/2016"
"Mirador Capital Partners LP", 36246, 1177, "12/31/2016"
"First Heartland Consultants Inc.", 36203, 1176, "12/31/2016"
"Assetmark Inc.", 36169, 1174, "12/31/2016"
"Farmers & Merchants Trust Co of Chambersburg PA", 35896, 1166, "12/31/2016"
"Regal Investment Advisors LLC", 35732, 1161, "12/31/2016"
"Smith Moore & CO.", 35555, 1155, "12/31/2016"
"Meridian Management Co.", 35561, 1155, "12/31/2016"
"Peak Asset Management LLC", 35519, 1154, "12/31/2016"
"EFG Asset Management Americas Corp.", 31709, 1152, "12/31/2016"
"American Research & Management Co.", 35401, 1150, "12/31/2016"
"St. Johns Investment Management Company LLC", 35402, 1150, "12/31/2016"
"Mathes Company Inc.", 35186, 1143, "12/31/2016"
"Kwmg LLC", 35178, 1143, "12/31/2016"
"Nicolet Bankshares Inc.", 35126, 1141, "12/31/2016"
"Argent Trust Co", 34926, 1134, "12/31/2016"
"Amarillo National Bank", 34790, 1130, "12/31/2016"
"Mission Wealth Management LLC", 34798, 1130, "12/31/2016"
"Kingfisher Capital LLC", 34750, 1129, "12/31/2016"
"Joel Isaacson & Co. LLC", 34769, 1129, "12/31/2016"
"Probity Advisors Inc.", 34667, 1126, "12/31/2016"
"Proficio Capital Partners LLC", 34254, 1113, "12/31/2016"
"Bridgewater Wealth & Financial Management LLC", 34169, 1110, "12/31/2016"
"Franklin Street Advisors Inc. NC", 34145, 1109, "12/31/2016"
"Muhlenkamp & Co. Inc.", 33984, 1104, "12/31/2016"
"Prelude Capital Management LLC", 33818, 1098, "12/31/2016"
"Optimum Investment Advisors", 32269, 1093, "09/30/2016"
"Opus Capital Group LLC", 33524, 1090, "12/31/2016"
"Nadler Financial Group Inc.", 33507, 1088, "12/31/2016"
"Timber Creek Capital Management LLC", 33478, 1087, "12/31/2016"
"Livingston Group Asset Management CO operating as Southport Capital Management", 33358, 1083, "12/31/2016"
"Cetera Investment Advisers", 33579, 1083, "12/31/2016"
"Weatherly Asset Management L. P.", 33290, 1081, "12/31/2016"
"ZWJ Investment Counsel Inc.", 33174, 1078, "12/31/2016"
"Troy Asset Management Ltd", 33000, 1072, "12/31/2016"
"Loeb Partners Corp", 32900, 1069, "12/31/2016"
"Noesis Capital Mangement Corp", 32920, 1069, "12/31/2016"
"Baldwin Brothers Inc. MA", 32807, 1066, "12/31/2016"
"Atlas Brown Inc.", 31375, 1063, "12/31/2016"
"Berkeley Capital Partners LLC", 32735, 1063, "12/31/2016"
"Flossbach Von Storch AG", 32690, 1062, "12/31/2016"
"DT Investment Partners LLC", 32628, 1060, "12/31/2016"
"Dividend Assets Capital LLC", 32479, 1055, "12/31/2016"
"Lee Financial CORP", 32494, 1055, "12/31/2016"
"NewSquare Capital LLC", 32471, 1055, "12/31/2016"
"Northstar Asset Management LLC", 32350, 1051, "12/31/2016"
"Bangor Savings Bank", 32297, 1049, "12/31/2016"
"DF Dent & Co. Inc.", 32202, 1046, "12/31/2016"
"Physicians Financial Services Inc.", 28179, 1038, "12/31/2016"
"Sequoia Financial Advisors LLC", 31915, 1037, "12/31/2016"
"Halsey Associates Inc. CT", 31842, 1034, "12/31/2016"
"Edgemoor Investment Advisors Inc.", 31847, 1034, "12/31/2016"
"Bedrijfstakpensioenfonds Voor DE Media PNO", 31800, 1033, "12/31/2016"
"ARGI Investment Services LLC", 31539, 1025, "12/31/2016"
"Frontier Investment Mgmt Co.", 32599, 1023, "12/31/2016"
"Milestone Group Inc.", 31352, 1018, "12/31/2016"
"Cape ANN Savings Bank", 31994, 1016, "12/31/2016"
"Headinvest LLC", 31266, 1016, "12/31/2016"
"Ipswich Investment Management Co. Inc.", 31264, 1015, "12/31/2016"
"Deroy & Devereaux Private Investment Counsel Inc.", 31119, 1011, "12/31/2016"
"Old Mutual Global Investors UK Ltd.", 31076, 1009, "12/31/2016"
"Capital Analysts LLC", 30926, 1005, "12/31/2016"
"Weaver C. Barksdale & Associates Inc.", 30847, 1002, "12/31/2016"
"Baystate Wealth Management LLC", 30105, 1002, "12/31/2016"
"Needelman Asset Management Inc.", 30700, 997, "12/31/2016"
"Mount Vernon Associates Inc. MD", 30588, 993, "12/31/2016"
"FCM Investments TX", 30530, 992, "12/31/2016"
"Quantum Capital Management", 30470, 990, "12/31/2016"
"Lourd Capital LLC", 30480, 990, "12/31/2016"
"Traynor Capital Management Inc.", 31626, 990, "12/31/2016"
"Tradition Capital Management LLC", 30428, 988, "12/31/2016"
"Capital Investment Counsel Inc", 30355, 986, "12/31/2016"
"Banced Corp", 30322, 984, "12/31/2016"
"Ibex Wealth Advisors", 28929, 980, "09/30/2016"
"Bellecapital International Ltd.", 30143, 979, "12/31/2016"
"Altavista Wealth Management Inc.", 30059, 976, "12/31/2016"
"Sippican Capital Advisors", 30035, 976, "12/31/2016"
"Hugh Johnson Advisors LLC", 29938, 972, "12/31/2016"
"Dean Investment Associates LLC", 29893, 971, "12/31/2016"
"FDO Partners LLC", 29782, 967, "12/31/2016"
"Annex Advisory Services LLC", 29767, 967, "12/31/2016"
"Manchester Capital Management LLC", 29705, 965, "12/31/2016"
"Private Capital Management Inc.", 29500, 958, "12/31/2016"
"Feltz Wealth PLAN Inc.", 28416, 958, "09/30/2016"
"Eidelman Virant Capital", 29332, 952, "12/31/2016"
"Amtrust Financial Services Inc.", 29084, 945, "12/31/2016"
"Miller Investment Management LP", 29100, 945, "12/31/2016"
"Cornerstone Wealth Management LLC", 28614, 945, "12/31/2016"
"Lockheed Martin Investment Management Co.", 29050, 944, "12/31/2016"
"Aspen Investment Management Inc", 28993, 942, "12/31/2016"
"Lcnb Corp", 28886, 938, "12/31/2016"
"Montrusco Bolton Investments Inc.", 28870, 938, "12/31/2016"
"S&CO Inc.", 28787, 935, "12/31/2016"
"Violich Capital Management Inc.", 28832, 934, "12/31/2016"
"Verition Fund Management LLC", 28574, 928, "12/31/2016"
"TrueNorth Inc.", 27395, 928, "09/30/2016"
"High Point Bank & Trust Co.", 28540, 927, "12/31/2016"
"Curbstone Financial Management Corp", 28522, 926, "12/31/2016"
"Trust Department MB Financial Bank N A", 28484, 925, "12/31/2016"
"Day & Ennis LLC", 28455, 924, "12/31/2016"
"Independent Investors Inc.", 28400, 922, "12/31/2016"
"Westbourne Investment Advisors Inc.", 28394, 922, "12/31/2016"
"First Capital Advisors Group LLC.", 28344, 921, "12/31/2016"
"Ronald Blue & Co. LLC", 28277, 919, "12/31/2016"
"Tower Square Investment Management LLC", 28301, 919, "12/31/2016"
"McKinley Carter Wealth Services Inc.", 28244, 917, "12/31/2016"
"LLBH Private Wealth Management LLC", 28212, 916, "12/31/2016"
"Profit Investment Management LLC", 28060, 911, "12/31/2016"
"Godshalk Welsh Capital Management Inc.", 28025, 910, "12/31/2016"
"Regents of The University of California", 27645, 898, "12/31/2016"
"Alpine Partners VI LLC", 27648, 898, "12/31/2016"
"Harvest Capital Management Inc", 27591, 896, "12/31/2016"
"JT Stratford LLC", 27486, 893, "12/31/2016"
"WESPAC Advisors LLC", 27460, 892, "12/31/2016"
"Putnam FL Investment Management Co.", 27414, 890, "12/31/2016"
"Stevens First Principles Investment Advisors", 27364, 889, "12/31/2016"
"Quadrature Capital Ltd", 9980, 889, "12/31/2016"
"Albion Financial Group UT", 27127, 881, "12/31/2016"
"Asset Dedication LLC", 26993, 877, "12/31/2016"
"Horizon Investments LLC", 27015, 877, "12/31/2016"
"Professional Advisory Services Inc.", 26795, 870, "12/31/2016"
"LBA Wealth Management LLC", 26599, 864, "12/31/2016"
"Wayne Hummer Investments L.L.C.", 26543, 862, "12/31/2016"
"Koshinski Asset Management Inc.", 26454, 859, "12/31/2016"
"Vident Investment Advisory LLC", 26433, 859, "12/31/2016"
"Bennicas & Associates Inc.", 26357, 856, "12/31/2016"
"Wellesley Investment Partners LLC", 26331, 855, "12/31/2016"
"Laffer Investments", 26124, 849, "12/31/2016"
"Financial Advisory Service Inc.", 26150, 849, "12/31/2016"
"Dearborn Partners LLC", 26025, 845, "12/31/2016"
"Westport Resources Management Inc.", 24940, 845, "09/30/2016"
"RMB Capital Management LLC", 25769, 837, "12/31/2016"
"Focused Wealth Management Inc", 25727, 836, "12/31/2016"
"Capital International Inc. CA", 25600, 831, "12/31/2016"
"Gould Asset Management LLC CA", 25448, 827, "12/31/2016"
"Nations Financial Group Inc. IA ADV", 25286, 821, "12/31/2016"
"Main Street Research LLC", 25155, 817, "12/31/2016"
"Papp L Roy & Associates", 25133, 816, "12/31/2016"
"Bailard Inc.", 25097, 815, "12/31/2016"
"Signaturefd LLC", 24991, 812, "12/31/2016"
"Ulysses Management LLC", , 812, "12/31/2016"
"Signature Financial Management Inc.", 25045, 812, "12/31/2016"
"Birch Hill Investment Advisors LLC", 24919, 809, "12/31/2016"
"Moloney Securities Asset Management LLC", 24911, 809, "12/31/2016"
"Roof Eidam & Maycock ADV", 24833, 807, "12/31/2016"
"Vicus Capital", 24647, 801, "12/31/2016"
"Mercer Capital Advisers Inc.", 24672, 801, "12/31/2016"
"Gerber Kawasaki Wealth & Investment Management", 24608, 799, "12/31/2016"
"Naples Global Advisors LLC", 24473, 795, "12/31/2016"
"Concentric Wealth Management LLC", 24366, 791, "12/31/2016"
"SSI Investment Management Inc.", 24296, 789, "12/31/2016"
"K2 Principal Fund L.P.", , 786, "12/31/2016"
"Portland Global Advisors LLC", 24192, 786, "12/31/2016"
"Dynamic Advisors Solutions LLC", 24141, 784, "12/31/2016"
"Independent Portfolio Consultants Inc.", 23989, 779, "12/31/2016"
"Oarsman Capital Inc.", 23862, 775, "12/31/2016"
"RGT Capital Management Ltd.", 23396, 760, "12/31/2016"
"Hills Bank & Trust Co.", 23290, 757, "12/31/2016"
"Nicholas Hoffman & Company LLC.", 22938, 757, "12/31/2016"
"Guardian Life Insurance Co. of America", 23253, 755, "12/31/2016"
"Beacon Investment Advisory Services Inc.", 23213, 754, "12/31/2016"
"Vector Wealth Management LLC", 23166, 753, "12/31/2016"
"Paragon Capital Management Ltd", 22243, 753, "09/30/2016"
"M. Kraus & Co", 23168, 752, "12/31/2016"
"Accredited Investors Inc.", 23068, 749, "12/31/2016"
"Hemenway Trust Co LLC", 23024, 748, "12/31/2016"
"Advent Capital Management DE", 23000, 747, "12/31/2016"
"First Mercantile Trust Co.", 23000, 747, "12/31/2016"
"Home Federal Bank of Tennessee", 22736, 739, "12/31/2016"
"Bellwether Investment Group LLC", 22585, 734, "12/31/2016"
"Adirondack Trust Co.", 22599, 733, "12/31/2016"
"Pointe Capital Management LLC", 22504, 731, "12/31/2016"
"Starfire Investment Advisers Inc.", 22504, 731, "12/31/2016"
"Smith Shellnut Wilson LLC ADV", 22467, 730, "12/31/2016"
"CG Asset Management LLC", 22365, 726, "12/31/2016"
"Kovitz Investment Group Partners LLC", 22231, 722, "12/31/2016"
"Stelac Advisory Services LLC", 22150, 719, "12/31/2016"
"Modera Wealth Management LLC", 22042, 716, "12/31/2016"
"Pure Financial Advisors Inc.", 22007, 715, "12/31/2016"
"American Economic Planning Group Inc. ADV", 21964, 713, "12/31/2016"
"Atlanta Capital Group", 21931, 712, "12/31/2016"
"Capital Advantage Inc.", 21773, 707, "12/31/2016"
"Vantage Financial Partners Ltd. Inc.", 21715, 705, "12/31/2016"
"Rock Point Advisors LLC", 21684, 704, "12/31/2016"
"Pioneer Trust Bank N A OR", 21651, 703, "12/31/2016"
"Kelly Lawrence W & Associates Inc. CA", 21584, 701, "12/31/2016"
"Dumont & Blake Investment Advisors LLC", 21558, 700, "12/31/2016"
"Westover Capital Advisors LLC", 21556, 700, "12/31/2016"
"Broderick Brian C", 21534, 699, "12/31/2016"
"Indiana Trust & Investment Management CO", 21219, 690, "12/31/2016"
"Baxter Bros Inc.", 21183, 688, "12/31/2016"
"Charter Research & Investment Group Inc.", 20294, 687, "09/30/2016"
"Summit Asset Management LLC", 21001, 682, "12/31/2016"
"Boston Research & Management Inc.", 20972, 681, "12/31/2016"
"Chicago Partners Investment Group LLC", 20929, 680, "12/31/2016"
"Wealthsource Partners LLC", 20903, 679, "12/31/2016"
"Capital Impact Advisors LLC", 20748, 674, "12/31/2016"
"Palisades Hudson Asset Management L.P.", 20679, 672, "12/31/2016"
"Aveo Capital Partners LLC", 20688, 672, "12/31/2016"
"Capital Asset Advisory Services LLC", 20626, 670, "12/31/2016"
"Univest Corp of Pennsylvania", 20610, 669, "12/31/2016"
"Sonata Capital Group Inc.", 20582, 669, "12/31/2016"
"IHT Wealth Management LLC", 20269, 669, "12/31/2016"
"Foster Dykema Cabot & Co. Inc. MA", 20520, 666, "12/31/2016"
"Sandhill Capital Partners LLC", 20516, 666, "12/31/2016"
"Winslow Asset Management Inc.", 20414, 663, "12/31/2016"
"MEMBERS Trust Co", 19559, 662, "09/30/2016"
"Covenant Asset Management LLC", 20360, 661, "12/31/2016"
"Cliftonlarsonallen Wealth Advisors LLC", 20252, 658, "12/31/2016"
"Montage Investments LLC", 19413, 657, "09/30/2016"
"Weik Investment Services Inc.", 20175, 655, "12/31/2016"
"Capital Management Associates NY", 20113, 653, "12/31/2016"
"P.A.W. Capital Corp", 20000, 650, "12/31/2016"
"Atwood & Palmer Inc.", 19938, 648, "12/31/2016"
"CT Financial Advisors LLC", 19887, 646, "12/31/2016"
"Waldron LP", 19832, 644, "12/31/2016"
"Keating Investment Counselors Inc.", 19787, 643, "12/31/2016"
"Lafayette Investments Inc.", 19778, 642, "12/31/2016"
"Pinnacle Holdings LLC", 19758, 642, "12/31/2016"
"Botty Investors LLC", 19756, 641, "12/31/2016"
"New England Private Wealth Advisors LLC", 19648, 641, "12/31/2016"
"Bridgeworth LLC", 19430, 640, "12/31/2016"
"Florence Capital Advisors LLC", 19689, 639, "12/31/2016"
"Granite Investment Partners LLC", 19565, 635, "12/31/2016"
"Mitchell Sinkler & Starr PA", 19402, 630, "12/31/2016"
"Palo Capital Inc.", 19327, 628, "12/31/2016"
"Klingman & Associates LLC", 19260, 626, "12/31/2016"
"Keel Point LLC", 19065, 619, "12/31/2016"
"EP Wealth Advisors Inc.", 20279, 618, "12/31/2016"
"Lowe Brockenbrough & Co. Inc.", 18998, 617, "12/31/2016"
"Montgomery Investment Management Inc.", 18962, 616, "12/31/2016"
"Harbor Advisors LLC", 18962, 616, "12/31/2016"
"Dreman Value Management L L C", 18901, 614, "12/31/2016"
"Middleton & Co Inc MA", 18782, 610, "12/31/2016"
"Arthur M. Cohen & Associates LLC", 18765, 610, "12/31/2016"
"Winfield Associates Inc.", 18769, 609, "12/31/2016"
"Fox Run Management L.L.C.", 18700, 607, "12/31/2016"
"Telemus Capital LLC", 18696, 607, "12/31/2016"
"AIMZ Investment Advisors LLC", 18693, 607, "12/31/2016"
"SignalPoint Asset Management LLC", 18542, 602, "12/31/2016"
"Legg Mason Asset Management Japan Co. Ltd.", 18300, 595, "12/31/2016"
"Mraz Amerine & Associates Inc.", 18213, 592, "12/31/2016"
"Mitchell Mcleod Pugh & Williams Inc.", 18231, 592, "12/31/2016"
"Bath Savings Trust Co", 18181, 590, "12/31/2016"
"Crestwood Advisors LLC", 18155, 590, "12/31/2016"
"RFG Advisory Group LLC", 17476, 589, "12/31/2016"
"Mesirow Financial Investment Management Equity Management", 18122, 588, "12/31/2016"
"Comerica Securities Inc.", 18038, 586, "12/31/2016"
"Girard Securities Inc.", 17952, 583, "12/31/2016"
"Conestoga Capital Advisors LLC", 17835, 579, "12/31/2016"
"R.H. Dinel Investment Counsel Inc.", 17010, 576, "09/30/2016"
"Quotient Investors LLC", 17498, 568, "12/31/2016"
"HCR Wealth Advisors", 17462, 567, "12/31/2016"
"Mastrapasqua Asset Management Inc.", 17435, 566, "12/31/2016"
"BlueMountain Capital Management LLC", 17410, 565, "12/31/2016"
"Round Table Services LLC", 17327, 563, "12/31/2016"
"Svenska Handelsbanken AB publ", 17329, 563, "12/31/2016"
"Cribstone Capital Management LLC", 17654, 561, "12/31/2016"
"Mascoma Wealth Management LLC", 17230, 560, "12/31/2016"
"Cambridge Advisors Inc.", 17146, 557, "12/31/2016"
"Ausdal Financial Partners Inc.", 17091, 555, "12/31/2016"
"West Chester Capital Advisors Inc.", 16966, 551, "12/31/2016"
"Spirit of America Management Corp NY", 16900, 549, "12/31/2016"
"Camelot Portfolios LLC", 16862, 548, "12/31/2016"
"Spectrum Asset Management Inc. NB CA", 16721, 543, "12/31/2016"
"Perritt Capital Management Inc.", 16596, 539, "12/31/2016"
"Schmidt P J Investment Management Inc.", 16549, 538, "12/31/2016"
"Integrated Wealth Counsel LLC", 16518, 537, "12/31/2016"
"Abner Herrman & Brock LLC", 15960, 536, "12/31/2016"
"MCF Advisors LLC", 16512, 536, "12/31/2016"
"Tiemann Investment Advisors LLC", 16436, 534, "12/31/2016"
"U S Global Investors Inc.", 16300, 529, "12/31/2016"
"Mcdaniel Terry & Co.", 16257, 528, "12/31/2016"
"Pinnacle Advisory Group Inc.", 16210, 526, "12/31/2016"
"Partnervest Advisory Services LLC", 16176, 525, "12/31/2016"
"Krilogy Financial LLC", 16155, 525, "12/31/2016"
"River Wealth Advisors LLC", 16075, 522, "12/31/2016"
"M Holdings Securities Inc.", 16008, 520, "12/31/2016"
"Notis McConarty Edward", 16000, 520, "12/31/2016"
"Barr E S & Co.", 15953, 518, "12/31/2016"
"Shinko Asset Management Co. Ltd.", 15262, 517, "09/30/2016"
"Shikiar Asset Management Inc.", 15800, 513, "12/31/2016"
"Bender Robert & Associates", 15757, 512, "12/31/2016"
"Carl Domino Inc", 15640, 508, "12/31/2016"
"Fruth Investment Management", 15616, 507, "12/31/2016"
"Ironwood Investment Management LLC", 15481, 503, "12/31/2016"
"Triangle Securities Wealth Management", 15465, 502, "12/31/2016"
"Pillar Pacific Capital Management LLC", 15359, 499, "12/31/2016"
"Creegan & Nassoura Financial Group LLC", 14700, 498, "09/30/2016"
"Train Babcock Advisors LLC", 15160, 492, "12/31/2016"
"Alethea Capital Management LLC", 15137, 492, "12/31/2016"
"Wedgewood Investors Inc. PA", 15074, 490, "12/31/2016"
"Alesco Advisors LLC", 15029, 488, "12/31/2016"
"BerganKDV Wealth Management LLC", 15002, 487, "12/31/2016"
"Millie Capital Management LLC", 14963, 486, "12/31/2016"
"American Asset Management Inc.", 14929, 485, "12/31/2016"
"Roberts Glore & Co. Inc. IL", 14900, 484, "12/31/2016"
"Good Life Advisors LLC", 14719, 484, "12/31/2016"
"Balter Liquid Alternatives LLC", 14740, 479, "12/31/2016"
"Prentiss Smith & Co. Inc.", 14698, 477, "12/31/2016"
"Arrowstreet Capital Limited Partnership", 14700, 477, "12/31/2016"
"Hudson Canyon Investment Counselors LLC", 14673, 477, "12/31/2016"
"Evanson Asset Management LLC", 14701, 477, "12/31/2016"
"Parsec Financial Management Inc.", 14602, 474, "12/31/2016"
"Acadia Trust NA", 13982, 474, "09/30/2016"
"Benin Management CORP", 14480, 470, "12/31/2016"
"Ken Stern & Associates Inc.", 14463, 470, "12/31/2016"
"Mountain Pacific Investment Advisers Inc. ID", 14438, 469, "12/31/2016"
"Carlson Capital Management", 14408, 468, "12/31/2016"
"Birinyi Associates Inc.", 14250, 463, "12/31/2016"
"GM Advisory Group Inc.", 14253, 463, "12/31/2016"
"Burt Wealth Advisors", 14182, 461, "12/31/2016"
"Institutional & Family Asset Management LLC", 14172, 460, "12/31/2016"
"Reik & CO. LLC", 14125, 459, "12/31/2016"
"Cornerstone Advisory LLP", 14121, 459, "12/31/2016"
"Marietta Wealth Management LLC", 14127, 459, "12/31/2016"
"Foresters Asset Management Inc.", 14000, 455, "12/31/2016"
"Jackson Grant Investment Advisers Inc.", 13991, 454, "12/31/2016"
"Front Barnett Associates LLC", 13949, 453, "12/31/2016"
"Grace & White Inc. NY", 13882, 451, "12/31/2016"
"Camden National Bank", 13882, 451, "12/31/2016"
"Chesapeake Asset Management LLC", 13860, 450, "12/31/2016"
"iAB Financial Bank", 13768, 447, "12/31/2016"
"Northside Capital Management LLC", 13755, 447, "12/31/2016"
"Northwest Wealth Management LLC", 13742, 446, "12/31/2016"
"Augustine Asset Management Inc.", 13715, 445, "12/31/2016"
"Hanson McClain Inc.", 13709, 445, "12/31/2016"
"Compass Capital Management Inc.", 13624, 443, "12/31/2016"
"Jensen Investment Management Inc.", 13634, 443, "12/31/2016"
"Trillium Asset Management LLC", 13600, 442, "12/31/2016"
"Aureus Asset Management LLC", 13564, 441, "12/31/2016"
"Airain ltd", 13582, 441, "12/31/2016"
"Northstar Investment Advisors LLC", 13548, 440, "12/31/2016"
"Bingham Osborn & Scarborough LLC", 13562, 440, "12/31/2016"
"Garde Capital Inc.", 13531, 439, "12/31/2016"
"Wittenberg Investment Management Inc.", 13520, 439, "12/31/2016"
"Integral Derivatives LLC", , 435, "12/31/2016"
"Cortland Associates Inc. MO", 13332, 433, "12/31/2016"
"Stellar Capital Management LLC", 13324, 433, "12/31/2016"
"Clarius Group LLC", 13289, 432, "12/31/2016"
"King Wealth Management Group LLC", 13255, 431, "12/31/2016"
"Gillespie Robinson & Grimm Inc.", 13231, 430, "12/31/2016"
"Driehaus Capital Management LLC", 13239, 430, "12/31/2016"
"Bristlecone Advisors LLC", 13248, 430, "12/31/2016"
"Advantage Investment Management LLC", 13249, 430, "12/31/2016"
"Copper Rock Capital Partners LLC", 13223, 429, "12/31/2016"
"Armstrong Henry H Associates Inc.", 13157, 427, "12/31/2016"
"GSA Capital Partners LLP", 13144, 427, "12/31/2016"
"LifePlan Financial Group Inc", 13125, 426, "12/31/2016"
"Texan Capital Management", 13041, 424, "12/31/2016"
"Vontobel Swiss Wealth Advisors AG", 13000, 422, "12/31/2016"
"FormulaFolio Investments LLC", 12959, 421, "12/31/2016"
"Obermeyer Wood Investment Counsel Lllp", 12927, 420, "12/31/2016"
"St. Louis Trust Co", 12862, 418, "12/31/2016"
"FCG Advisors LLC", 12727, 413, "12/31/2016"
"Cedar Hill Associates LLC", 12706, 413, "12/31/2016"
"BSW Wealth Partners", 12705, 413, "12/31/2016"
"Roffman Miller Associates Inc. PA", 12679, 412, "12/31/2016"
"Mcrae Capital Management Inc.", 12595, 409, "12/31/2016"
"Concorde Asset Management LLC", 12513, 408, "12/31/2016"
"Trust Co", 12564, 408, "12/31/2016"
"Pathstone Family Office LLC", 12467, 405, "12/31/2016"
"Robertson Stephens Advisors LLC", 12347, 401, "12/31/2016"
"West Oak Capital LLC", 12243, 398, "12/31/2016"
"Telos Capital Management Inc.", 12263, 398, "12/31/2016"
"Redmond Asset Management LLC", 12254, 398, "12/31/2016"
"Kelman Lazarov Inc.", 12263, 398, "12/31/2016"
"Corundum Group Inc.", 12101, 393, "12/31/2016"
"Norway Savings Bank", 12088, 393, "12/31/2016"
"Firefly Value Partners LP", 12025, 391, "12/31/2016"
"Messner & Smith Theme Value Investment Management Ltd. CA", 12010, 390, "12/31/2016"
"Ardsley Advisory Partners", 12000, 390, "12/31/2016"
"SRS Capital Advisors Inc.", 12003, 390, "12/31/2016"
"Capital Investment Services of America Inc.", 11972, 389, "12/31/2016"
"Norris Perne & French LLP MI", 11942, 388, "12/31/2016"
"Lucas Capital Management", 11819, 384, "12/31/2016"
"Private Wealth Advisors Inc.", 11805, 383, "12/31/2016"
"Congress Asset Management Co. MA", 11725, 381, "12/31/2016"
"Puzo Michael J", 11750, 381, "12/31/2016"
"Highlander Capital Management LLC", 11643, 378, "12/31/2016"
"Bainco International Investors", 11545, 375, "12/31/2016"
"Arete Wealth Advisors LLC", 11555, 375, "12/31/2016"
"Liberty Capital Management Inc.", 11629, 372, "12/31/2016"
"BigSur Wealth Management LLC", 11460, 372, "12/31/2016"
"GHP Investment Advisors Inc.", 11422, 371, "12/31/2016"
"Weybosset Research & Management LLC", 11347, 369, "12/31/2016"
"Capital Advisors Ltd. LLC", 11344, 368, "12/31/2016"
"Brick & Kyle Associates", 11326, 368, "12/31/2016"
"Buffington Mohr McNeal", 11294, 367, "12/31/2016"
"Adirondack Research & Management Inc.", 11275, 366, "12/31/2016"
"Brighton Jones LLC", 11246, 365, "12/31/2016"
"Patriot Financial Group Insurance Agency LLC", 11487, 365, "12/31/2016"
"Warren Averett Asset Management LLC", 10949, 356, "12/31/2016"
"Tudor Investment Corp Et Al", 10900, 354, "12/31/2016"
"Spears Abacus Advisors LLC", 10911, 354, "12/31/2016"
"Chelsea Counsel Co.", 10454, 354, "09/30/2016"
"Windsor Capital Management LLC", 10803, 350, "12/31/2016"
"White Pine Capital LLC", 10697, 347, "12/31/2016"
"Sanders Morris Harris Inc.", 10591, 344, "12/31/2016"
